Index;CocaCola;Citigroup;Walmart;Nike
24/11/2008;22.615;59.5;52.77;12.58
25/11/2008;22.535;60.799999;54.68;12.3225
26/11/2008;22.690001;70.5;56.689999;13.3125
28/11/2008;23.434999;82.900002;55.880001;13.3125
01/12/2008;22.165001;64.5;53.009998;12.005
02/12/2008;21.965;72.199997;53.450001;12.5025
03/12/2008;23.07;78.199997;54.380001;13.0025
04/12/2008;22.375;74;55.110001;12.99
05/12/2008;22.99;77.099998;58.209999;13.335
08/12/2008;22.99;84.699997;57.560001;14.0425
09/12/2008;22.415001;85.400002;55.810001;13.235
10/12/2008;22.655001;83;55.25;12.625
11/12/2008;22.110001;75.699997;54.790001;12.1825
12/12/2008;22.285;77;54.630001;12.3425
15/12/2008;22.485001;74;54.709999;12.0475
16/12/2008;23.23;82.300003;55.240002;12.41
17/12/2008;22.74;78.300003;55.189999;12.66
18/12/2008;22.59;74.300003;55.41;13.1725
19/12/2008;22.215;70.199997;55.740002;12.815
22/12/2008;22.33;67.5;55.990002;12.275
23/12/2008;21.985001;65.199997;55.290001;11.99
24/12/2008;22.049999;67.800003;55.439999;12.2825
26/12/2008;22.290001;67.300003;55.349998;12.44
29/12/2008;22.205;65.699997;55.110001;12.235
30/12/2008;22.465;68;55.049999;12.4225
31/12/2008;22.635;67.099998;56.060001;12.75
02/01/2009;22.950001;71.400002;57.18;13.265
05/01/2009;22.719999;70.800003;56.52;13.36
06/01/2009;22.355;74.599998;56.02;13.09
07/01/2009;22.465;71.5;55.540001;12.615
08/01/2009;22.620001;71.599998;51.380001;12.8475
09/01/2009;22.299999;67.5;51.580002;12.4025
12/01/2009;21.865;56;51.389999;12.53
13/01/2009;22.01;59;52.119999;12.375
14/01/2009;21.309999;45.299999;51.560001;11.6625
15/01/2009;21.68;38.299999;51.349998;11.74
16/01/2009;21.92;35;51.560001;11.7
20/01/2009;21.440001;28;50.560001;11.035
21/01/2009;21.645;36.700001;49.139999;11.415
22/01/2009;21.559999;31.1;48.869999;11.4075
23/01/2009;21.1;34.700001;48.349998;11.42
26/01/2009;21.514999;33.299999;48.599998;11.4175
27/01/2009;21.665001;35.5;48.790001;11.3775
28/01/2009;21.93;42.099998;48.73;11.9
29/01/2009;21.775;39;47.860001;11.4975
30/01/2009;21.360001;35.5;47.119999;11.3125
02/02/2009;21.120001;36.5;46.57;11.1075
03/02/2009;21.66;34.599998;47.810001;11.575
04/02/2009;21.200001;34.900002;46.419998;11.445
05/02/2009;21.344999;35.299999;48.560001;11.8
